,Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class
TOKC,,,,,,-0.22690933985609096,1.561378093432391,-0.28485288186381563,0.0
BBP,,,,,,-0.12256226676956083,2.8320482805907057,11.142604525328592,1.0
LCC,,,,,,-0.6493612925561152,4.656110849738639,9.022705917268489,1.0
FLIP,,,,,,-0.1654332609017766,-1.1297424409713404,0.014594807037432862,3.0
LOT,,,,,,0.1411763096366798,-1.1324953257828714,0.007668168428165746,3.0
CIF,,,,,,-0.22232146139999345,-0.9103741243673077,0.028190547401160993,3.0
SPD,,,,,,-0.3746628153635864,1.0459510185751146,-0.4039715420474893,0.0
POA,,,,,,-0.46404104414587793,3.2324167952433136,14.194452337449393,1.0
PUSHI,,,,,,-0.400209815074165,1.2469935521923687,-0.5402925582921778,0.0
ELP,,,,,,-0.23109785250760925,1.3581044445327506,-0.38012299168057456,0.0
VLX,,,,,,-0.28674956006204605,0.8146776097544295,-0.23143633132267777,0.0
ONT,,,,,,-0.32208858549955527,1.6190837924989399,-0.05757262415167566,0.0
CLO,,,,,,-0.09605366306710529,-2.049891139610785,0.38812588984473984,3.0
TUBE,,,,,,0.307999681213597,-2.3051769501124615,0.38547833068247117,3.0
PSD,,,,,,-0.16566991669185094,-1.1297368613304501,0.014599707926171612,3.0
ADK,,,,,,-0.15960227483049808,-2.209414195343605,0.21442267183421757,3.0
BSX,,,,,,-0.36003776892051104,1.4971123588776092,-0.5693443159629453,0.0
BRIA,,,,,,-0.3378118832022502,1.0274984488014016,-0.5540028010857238,0.0
IC,,,,,,-0.3377936213719553,1.027497635876683,-0.5540031299718204,0.0
BTL,,,,,,-0.17564484676355646,-2.0152318790524073,0.48898324029561013,3.0
MEDIC,,,,,,-0.2811396167492986,0.8145986304785632,-0.23155937729556814,0.0
ALPS,,,,,,-0.14039087502740796,-2.3475507505694684,0.3962251245911324,3.0
BITG,,,,,,-0.37608418311343966,1.6528554715687873,-0.13144053322892219,0.0
DEV,,,,,,-0.34279294397699717,1.5018004045862015,-0.08811955073603049,0.0
ABJ,,,,,,-0.3375105605159913,1.0274893331350379,-0.5540087818380364,0.0
SEM,,,,,,3.963460638697716,1.7270871539055423,-0.16412222192684212,0.0
FTO,,,,,,-0.22734225193604304,-0.9102579666010225,0.028294808515394367,3.0
